"t","y","mu","q_true_05","q_true_50","q_true_95","q_syn_05","q_syn_50","q_syn_95","window","q_model_p005","q_model_p050","q_model_p095"
2578,-2.05796281281205,-3.92470993376196,-8.88312386994163,-3.92470993376196,1.0337040024177,-9.14457977766369,-3.7141539287457,1.10027174084426,"train",-9.05518236188198,-4.09906339332905,0.974131468435041
2579,0.30140320755053,-2.08106261115024,-7.03947642906796,-2.08106261115024,2.87735120676746,-7.77344778226005,-2.81030516496629,3.25221196502256,"train",-7.73437095859517,-2.76200204566111,3.04031298926051
2580,-2.25922163386944,-0.564530802666469,-5.52294450240511,-0.564530802666469,4.39388289707217,-5.71922371420132,-1.13571609341841,4.06309231560481,"train",-6.18577585301156,-1.05099533896264,4.1184827640659
2581,4.0073955080146,0.503494722474271,-4.45491885917147,0.503494722474271,5.46190830412001,-5.02226972365645,-0.277535474934812,4.96892879845674,"train",-5.29981784616958,-0.274170879070234,5.31907356986367
2582,-0.147843959775033,1.16483523294541,-3.79357823069398,1.16483523294541,6.1232486965848,-4.32792535273882,0.947393686598287,6.36359509010109,"train",-4.28645950912748,0.894218399918233,6.24422041279672
2583,3.21283299523755,1.30835962870473,-3.65005371701229,1.30835962870473,6.26677297442175,-3.51447157226119,0.782886021680633,5.83868850096896,"train",-3.48142396625919,0.853294167127894,5.82593042431923
2584,0.694562572336981,1.02990403833999,-3.9285091895331,1.02990403833999,5.98831726621309,-4.64669346630897,0.849934015770044,5.80414603013396,"train",-4.60406583676563,0.839454349739038,5.44660283009388
2585,0.927183325019765,0.326988235553743,-4.6314248745457,0.326988235553743,5.28540134565319,-5.73294464363158,0.428525625150893,4.95488737575005,"train",-4.77226958931654,0.325830234927556,5.11625983106404
2586,-4.35393556083307,-0.691767879952436,-5.65018087233811,-0.691767879952436,4.26664511243323,-5.62499931411962,-0.980668693045652,3.18724759508356,"train",-5.60520290788088,-0.800144172296224,3.14086408044887
2587,-4.6142780409115,-1.97522683366129,-6.93363970838106,-1.97522683366129,2.98318604105847,-6.97980821373441,-2.28018753710128,3.23638483548815,"train",-6.79864226629087,-2.21692877037155,3.07307033789649
2588,-5.20473519415942,-3.35532005775888,-8.31373281484771,-3.35532005775888,1.60309269932994,-8.31276094328574,-3.22830695206752,1.88052563922448,"train",-8.2512200650301,-3.25667288442138,1.5654225951005
2589,-5.62060871508898,-4.70971273656851,-9.66812537604832,-4.70971273656851,0.24869990291131,-9.73383917005662,-4.51287759127655,0.45099248867365,"train",-9.57843139223203,-4.5744029292117,0.257915484575875
2590,-7.21752420830145,-5.91356399034744,-10.8719765122279,-5.91356399034744,-0.955151468467022,-10.6122785682061,-6.07653830753404,-0.966175705034791,"train",-10.5365637685944,-6.17715888268721,-1.432066840281
2591,-2.39530463924823,-6.86560155407398,-11.8240139583538,-6.86560155407398,-1.90718914979418,-12.3464947665935,-7.01052559226691,-1.96894138948702,"train",-11.7808375485115,-7.15399209142771,-1.97281357601358
2592,-2.84957077885472,-7.41034509584194,-12.3687573825112,-7.41034509584194,-2.45193280917267,-12.2921353511896,-7.47877919072973,-2.72869031920906,"train",-12.2212967011935,-7.51661199510951,-2.84579599384698
2593,-6.07683344730114,-7.53096607414891,-12.4893782431918,-7.53096607414891,-2.57255390510598,-12.7963010285364,-7.77904776270931,-2.32780505197701,"train",-12.6143253898942,-7.91857985647342,-2.52631826575791
2594,-9.65418883206936,-7.21502790496166,-12.1734399563597,-7.21502790496166,-2.25661585356359,-12.6127917552303,-7.36589401407521,-2.58586955121218,"train",-12.5685645064345,-7.32306437089218,-2.95291257473948
2595,-3.03868157526463,-6.45765628210229,-11.4160682158377,-6.45765628210229,-1.4992443483669,-11.5176411155051,-6.5947790267734,-0.873849126912519,"train",-11.542183998032,-6.60722109970594,-0.931976186282064
2596,-2.60838280225672,-5.18609816366851,-10.1445099797276,-5.18609816366851,-0.227686347609439,-11.5850156153608,-5.5427004249264,-0.0960668834223638,"train",-10.6305263739842,-5.59355181081432,-0.300708379760989
2597,-5.77362209548861,-3.51901123838486,-8.47742293676147,-3.51901123838486,1.43940045999173,-8.0756114759908,-3.74387156086952,1.29575028610446,"train",-8.01978784767633,-3.69659065424516,1.02160025815905
2598,-1.59005726203361,-1.57750532685563,-6.53591690755401,-1.57750532685563,3.38090625384274,-7.14147218365286,-1.94914791131392,3.60941276358903,"train",-6.88186210410771,-1.81953259283303,3.20900368348473
2599,1.76888378199394,0.599753078335295,-4.35865838470193,0.599753078335295,5.55816454137252,-4.66017069454685,0.571183858293033,5.32308909387491,"train",-4.52684180386099,0.630214360827914,5.34251978472278
2600,1.24016325813706,2.87732528313786,-2.08108606226982,2.87732528313786,7.83573662854554,-2.4054186810498,3.4412179033835,7.83747574876016,"train",-2.14743714400716,3.30912032587362,7.8169298080401
2601,4.32026568308191,5.08148854558821,0.123077317762984,5.08148854558821,10.0398997734134,0.254779106054363,5.52845778622326,10.096307034472,"train",0.275090333194244,5.45785180551166,9.72206573734587
2602,4.77462302843966,7.11066703562985,2.1522559253244,7.11066703562985,12.0690781459353,2.22533082509421,7.62705006014556,12.8586850898783,"train",2.39037153817983,7.75954428953286,12.6067688875331
2603,9.70255311600049,8.81109669298039,3.85268570011714,8.81109669298039,13.7695076858436,4.13119085779934,9.12427644232555,13.8335284974519,"train",4.4102855746428,9.27408119742252,13.7668958962631
2604,3.36940202296062,10.1133418432875,5.15493096777556,10.1133418432875,15.0717527187995,5.76253856123391,10.8385603817856,15.3744001074588,"train",5.99401682228748,10.8740494213411,15.290092008406
2605,6.60619879112844,10.8203077114699,5.86189695320714,10.8203077114699,15.7787184697326,6.72833814702949,11.7468843951597,16.0742269022679,"train",6.89973487141717,11.7581120750066,16.2698780461416
2606,16.1008365989984,10.9662770806262,6.00786643950229,10.9662770806262,15.9246877217502,7.18592896386419,11.434575417604,16.7900508692136,"train",7.15982363996318,11.4279644546551,16.7265218603524
2607,14.3650553679906,10.5840044227894,5.62559389868855,10.5840044227894,15.5424149468903,6.51013570861854,11.495649157418,16.6388723160065,"train",6.52414804210395,11.4916682172639,16.5486086526781
2608,15.5338339222588,9.57118212273087,4.61277171553543,9.57118212273087,14.5295925299263,5.09701070726168,10.1195178840012,15.3855697184796,"train",5.30891136623149,10.2119443735575,15.3359415894024
2609,-0.635098618860477,7.99738496190851,3.03897467150236,7.99738496190851,12.9557952523147,4.18526405194681,8.55037208707851,14.4346939047935,"train",4.22072098967719,8.50329001325676,14.264088255842
2610,2.88377401198699,5.77244438214633,0.814034208417908,5.77244438214633,10.7308545558748,1.44917144463825,6.3708114642005,12.2471013891686,"train",1.9734945782718,6.36289016525774,12.1999741787244
2611,15.0708494233431,3.19423941747538,-1.76417063967952,3.19423941747538,8.15264947463026,-1.03640750429025,3.62020118334616,8.78979004381674,"train",-0.895672579141496,3.63700040447282,8.86519375345552
2612,3.02505466907564,0.472203171783327,-4.48620676889262,0.472203171783327,5.43061311245927,-4.14660518636075,0.94522886528014,6.06168408824808,"train",-4.02489926550458,1.03560189100981,5.87518310464745
2613,-2.31981323210966,-2.48734189213395,-7.44575171641434,-2.48734189213395,2.47106793214643,-7.65422773223,-2.35691446477976,2.93335910878635,"train",-7.31774660128379,-2.33944719266367,2.73705046116146
2614,-2.80025748100238,-5.46951735141882,-10.427927059375,-5.46951735141882,-0.511107643462669,-10.315969249191,-5.32442482548775,-0.227625589386069,"train",-10.2915280966354,-5.1310660990127,-0.26259717940439
2615,-5.09136214322779,-8.27929671842184,-13.2377063101129,-8.27929671842184,-3.32088712673077,-13.3934783182594,-7.77296015831755,-3.40053517269198,"train",-13.2350781775347,-7.76105617554702,-3.27365649077475
2616,-6.03483204495932,-10.7972184417918,-15.7556279172654,-10.7972184417918,-5.83880896631813,-16.0067572875387,-10.9472918193513,-5.64341447728308,"train",-15.4285230183009,-11.0065215417262,-5.63490279180035
2617,-14.506487146349,-12.8921227911892,-17.8505321504828,-12.8921227911892,-7.93371343189559,-17.6275198950373,-13.2634339941604,-8.56143572759353,"train",-17.5826067038532,-13.3600481050548,-8.59334484664013
2618,-11.69959325731,-14.5428114003349,-19.5012206434777,-14.5428114003349,-9.58440215719214,-19.5532465636026,-14.9078315116184,-10.7773860153551,"train",-19.4404575901169,-14.9116129824644,-10.810844255196
2619,-16.6981056987553,-15.5767859440499,-20.5351950710651,-15.5767859440499,-10.6183768170348,-21.656381312039,-16.0568798106097,-10.2966411550603,"train",-21.6559276132616,-16.0143033473967,-11.0047741227478
2620,-17.9336243489915,-16.0401884373896,-20.998597448297,-16.0401884373896,-11.0817794264822,-21.1174281735768,-16.2441298858418,-11.3039412878092,"train",-21.0813600855734,-16.3418909400298,-11.3258215430708
2621,-13.8793942379634,-15.9018749290011,-20.8602838238201,-15.9018749290011,-10.9434660341822,-21.2994671009043,-16.491938034544,-11.0230396744213,"train",-21.2409999279877,-16.5369669869187,-11.0507383474487
2622,-14.8848551623338,-15.1514984952649,-20.1099072740168,-15.1514984952649,-10.193089716513,-21.4175391984016,-15.5402790106098,-10.9019580633534,"train",-21.2048375598038,-15.5653803763051,-10.9291649285246
2623,-14.3296809258298,-13.9108814845121,-18.8692901472228,-13.9108814845121,-8.95247282180152,-19.2662852162309,-14.0097076632221,-9.25603185704949,"train",-19.1553639785906,-13.9399346727867,-8.92300151610473
2624,-14.1724762411596,-12.2642610001279,-17.2226695468295,-12.2642610001279,-7.30585245342631,-17.9546400466544,-13.1289976064721,-7.94983887025191,"train",-17.7707495296321,-13.2101093690474,-7.99068274872784
2625,-12.699230161379,-10.3348852594782,-15.2932936902108,-10.3348852594782,-5.3764768287457,-15.6782796185102,-10.8885370033959,-5.83504688467046,"train",-15.5934570434281,-11.105226055599,-6.02141879943018
2626,-2.66475405407591,-8.2419198706746,-13.2003281854868,-8.2419198706746,-3.28351155586243,-14.1683260558545,-8.7416616745293,-3.78746542126291,"train",-13.9494982008554,-8.74037572992169,-3.85270312915465
2627,-8.47350436194668,-6.04065912337476,-10.9990673223239,-6.04065912337476,-1.08225092442562,-12.2550442174252,-7.07863407204698,-1.6636771943566,"train",-11.9609739928087,-7.01177075361859,-1.71971663740165
2628,-6.46688285082166,-4.01771913219329,-8.97612721534489,-4.01771913219329,0.940688950958305,-8.81794296722819,-4.54840465373914,0.601924521426956,"train",-8.80838195369797,-4.57315559941292,0.317172441666146
2629,-3.29826618576121,-2.2169682956257,-7.17537626305212,-2.2169682956257,2.74143967180072,-7.22314421482119,-2.56960852083258,3.01649756956454,"train",-7.18396785092877,-2.62392450366197,2.98464848740717
2630,-0.696258497918513,-0.727210121646211,-5.68561797342492,-0.727210121646211,4.23119773013249,-6.34651416995208,-1.12577058808564,4.18322613599708,"train",-6.33546175459588,-1.10714598022144,3.80651540860902
2631,-3.08391137299321,0.371474853860941,-4.58693288235039,0.371474853860941,5.32988259007227,-4.08346225955902,-0.132577380801794,5.66735012577319,"train",-3.79792323684311,-0.0995250911730984,5.61403071423296
2632,2.64369383746257,0.987156369562431,-3.97125125116222,0.987156369562431,5.94556399028708,-3.7308650371927,0.777135286655515,5.8193591569438,"train",-3.81212645140012,0.810044376686825,5.83116618735467
2633,1.92485109469083,1.1867615023481,-3.77164600296828,1.1867615023481,6.14516900766448,-4.30462903214592,0.962404026494091,5.71694793857361,"train",-3.7957128151535,0.933196693650493,5.65136574723678
2634,4.13639475525487,0.928686324821355,-4.0297210651603,0.928686324821355,5.88709371480301,-3.8484420117824,0.765656494610982,6.36977956221202,"train",-3.82288520731939,0.798496674224378,6.32401850017591
2635,-1.6217659634575,0.292882147938599,-4.6655251267747,0.292882147938599,5.2512894226519,-4.56228863687649,0.284642056685706,5.3536076955797,"train",-4.39541772150814,0.225090949912661,5.23199214080668
2636,-4.79258555316351,-0.717966092527166,-5.67637325202932,-0.717966092527166,4.24044106697499,-5.47985362559993,-0.719662570769808,4.6144057859289,"train",-5.45777677894364,-0.715740787739447,4.58094700833285
2637,-0.862579582058886,-1.97587453435635,-6.93428157869402,-1.97587453435635,2.98253250998131,-6.87248965413676,-1.77154872443667,3.12311296277918,"train",-6.86133587519989,-1.80659704745321,3.11438412208017
2638,-2.97984817105382,-3.29531917052962,-8.2537260997381,-3.29531917052962,1.66308775867885,-8.19230098238549,-3.07002125881891,1.43945576449972,"train",-8.14346940157636,-2.9665146829638,1.51039268745592
